m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,data_type_ind,filing_type,qtr_nbr,zacks_sector_code,zacks_x_ind_code,zacks_metrics_ind_code,fye_month,comp_cik,per_len,sic_code,filing_date,last_changed_date,state_incorp_name,bus_address_line_1,bus_city,bus_state_name,bus_post_code,bus_phone_nbr,bus_fax_nbr,mail_address_line_1,mail_city,mail_state_name,mail_post_code,country_name,country_code,home_exchange_name,emp_cnt,emp_pt_cnt,emp_ft_cnt,emp_other_cnt,comm_share_holder,auditor,auditor_opinion,comp_url,email_addr,nbr_shares_out,shares_out_date,officer_name_1,officer_title_1,officer_name_2,officer_title_2,officer_name_3,officer_title_3,officer_name_4,officer_title_4,officer_name_5,officer_title_5,rpt_0_date,tot_revnu,cost_good_sold,gross_profit,tot_deprec_amort,int_exp_oper,int_invst_income_oper,res_dev_exp,in_proc_res_dev_exp_aggr,tot_sell_gen_admin_exp,rental_exp_ind_broker,pension_post_retire_exp,other_oper_income_exp,tot_oper_exp,oper_income,non_oper_int_exp,int_cap,asset_wdown_impair_aggr,restruct_charge,merger_acq_income_aggr,rental_income,spcl_unusual_charge,impair_goodwill,litig_aggr,gain_loss_sale_asset_aggr,gain_loss_sale_invst_aggr,stock_div_subsid,income_loss_equity_invst_other,pre_tax_minority_int,int_invst_income,other_non_oper_income_exp,tot_non_oper_income_exp,pre_tax_income,tot_provsn_income_tax,income_aft_tax,minority_int,equity_earn_subsid,invst_gain_loss_other,other_income,income_cont_oper,income_discont_oper,income_bef_exord_acct_change,exord_income_loss,cumul_eff_acct_change,consol_net_income_loss,non_ctl_int,net_income_parent_comp,pref_stock_div_other_adj,net_income_loss_share_holder,eps_basic_cont_oper,eps_basic_discont_oper,eps_basic_acct_change,eps_basic_extra,eps_basic_consol,eps_basic_parent_comp,basic_net_eps,eps_diluted_cont_oper,eps_diluted_discont_oper,eps_diluted_acct_change,eps_diluted_extra,eps_diluted_consol,eps_diluted_parent_comp,diluted_net_eps,dilution_factor,avg_d_shares,avg_b_shares,norm_pre_tax_income,norm_aft_tax_income,ebitda,ebit,rpt_1_date,cash_sterm_invst,note_loan_rcv,rcv_est_doubt,rcv_tot,invty,prepaid_expense,def_charge_curr,def_tax_asset_curr,asset_discont_oper_curr,other_curr_asset,tot_curr_asset,gross_prop_plant_equip,tot_accum_deprec,net_prop_plant_equip,net_real_estate_misc_prop,cap_software,lterm_invst,adv_dep,lterm_rcv,invty_lterm,goodwill_intang_asset_tot,def_charge_non_curr,def_tax_asset_lterm,asset_discont_oper_lterm,pension_post_retire_asset,other_lterm_asset,tot_lterm_asset,tot_asset,note_pay,acct_pay,div_pay,other_pay,accrued_exp,other_accrued_exp,curr_portion_debt,curr_portion_cap_lease,curr_portion_tax_pay,defer_revnu_curr,defer_tax_liab_curr,liab_discont_oper_curr,other_curr_liab,tot_curr_liab,tot_lterm_debt,defer_revnu_non_curr,pension_post_retire_liab,defer_tax_liab_lterm,mand_redeem_pref_sec_subsid,pref_stock_liab,min_int,liab_disc_oper_lterm,other_non_curr_liab,tot_lterm_liab,tot_liab,tot_pref_stock,comm_stock_net,addtl_paid_in_cap,retain_earn_accum_deficit,equity_equiv,treas_stock,compr_income,def_compsn,other_share_holder_equity,tot_comm_equity,tot_share_holder_equity,tot_liab_share_holder_equity,comm_shares_out,pref_stock_shares_out,tang_stock_holder_equity,rpt_2_date,net_income_loss,tot_deprec_amort_cash_flow,other_non_cash_item,tot_non_cash_item,change_acct_rcv,change_invty,change_acct_pay,change_acct_pay_accrued_liab,change_income_tax,change_asset_liab,tot_change_asset_liab,oper_activity_other,cash_flow_oper_activity,net_change_prop_plant_equip,net_change_intang_asset,net_acq_divst,net_change_sterm_invst,net_change_lterm_invst,net_change_invst_tot,invst_activity_other,cash_flow_invst_activity,net_lterm_debt,net_curr_debt,debt_issue_retire_net_tot,net_comm_equity_issued_repurch,net_pref_equity_issued_repurch,net_tot_equity_issued_repurch,tot_comm_pref_stock_div_paid,fin_activity_other,cash_flow_fin_activity,fgn_exchange_rate_adj,disc_oper_misc_cash_flow_adj,incr_decr_cash,beg_cash,end_cash,stock_based_compsn,comm_stock_div_paid,pref_stock_div_paid,tot_deprec_amort_qd,stock_based_compsn_qd,cash_flow_oper_activity_qd,net_change_prop_plant_equip_qd,comm_stock_div_paid_qd,pref_stock_div_paid_qd,tot_comm_pref_stock_div_qd,wavg_shares_out,wavg_shares_out_diluted,eps_basic_net,eps_diluted_net
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-09-30,A,,2011,4,2011,3,F,10-K,2011,10,199,9,9,0000320193,12,3571,2011-10-26,2011-10-26,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,408-996-0275,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,63300,2900,60400,,28543,Ernst & Young LLP,Fair,www.apple.com,investor_relations@apple.com,6505863000,2011-10-14,Timothy D. Cook,Chief Executive Officer and Director,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,Betsy Rafael,Vice President and Corporate Controller,William V. Campbell,Director,Millard S. Drexler,Director,2013-10-30,108249.0,64431.0,43818.0,,,,2429.0,,7599.0,,,,74459.0,33790.0,,,,,,,,,,,,,,,,415.0,415.0,34205.0,8283.0,25922.0,,,,,25922.0,,25922.0,,,25922.0,,25922.0,,25922.0,4.0066,,,,4.0066,4.0066,4.0071,3.9536,,,,3.9536,3.9536,3.9543,4.334,6556.515,6469.806,34205.0,25922.0,35604.0,33790.0,2012-10-31,25952.0,,,11717.0,776.0,,,2014.0,,4529.0,44988.0,11768.0,3991.0,7777.0,,,55618.0,,,,4432.0,,,,,3556.0,71383.0,116371.0,,14632.0,,,9247.0,,,,,4091.0,,,,27970.0,,1686.0,,,,,,,10100.0,11786.0,39756.0,,13331.0,,62841.0,,,443.0,,,76615.0,76615.0,116371.0,6504.939,,72183.0,2013-10-30,25922.0,1814.0,4036.0,5850.0,143.0,275.0,2515.0,,,2824.0,5757.0,,37529.0,-4260.0,-3192.0,-244.0,-32464.0,,-32464.0,-259.0,-40419.0,,,,831.0,,831.0,,613.0,1444.0,,,-1446.0,11261.0,9815.0,1168.0,0.0,,,,,,,,,6469.806,6556.515,4.0071,3.9543
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2012-09-30,A,,2012,4,2012,3,F,10-K,2012,10,199,9,9,0000320193,12,3571,2012-10-31,2012-10-31,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,408-996-0275,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,76100,3300,72800,,27696,Ernst & Young LLP,Fair,www.apple.com,investor_relations@apple.com,6584844000,2012-10-19,Timothy D. Cook,Chief Executive Officer and Director,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,William V. Campbell,Director,Millard S. Drexler,Director,Al Gore,Director,2014-10-27,156508.0,87846.0,68662.0,,,,3381.0,,10040.0,,,,101267.0,55241.0,,,,,,,,,,,,,,,,522.0,522.0,55763.0,14030.0,41733.0,,,,,41733.0,,41733.0,,,41733.0,,41733.0,,41733.0,6.3776,,,,6.3776,6.3776,6.3771,6.3065,,,,6.3065,6.3065,6.3071,23.3164,6617.485,6543.726,55763.0,41733.0,58518.0,55241.0,2013-10-30,29129.0,,,18692.0,791.0,,,2583.0,,6458.0,57653.0,21887.0,6435.0,15452.0,,,92122.0,,,,5359.0,,,,,5478.0,118411.0,176064.0,,21175.0,,,11414.0,,,,,5953.0,,,,38542.0,,2648.0,,,,,,,16664.0,19312.0,57854.0,,16422.0,,101289.0,,,499.0,,,118210.0,118210.0,176064.0,6574.456,,112851.0,2014-10-27,41733.0,3277.0,6145.0,9422.0,-5551.0,-15.0,4467.0,,,800.0,-299.0,,50856.0,-8295.0,-1107.0,-350.0,-38427.0,,-38427.0,-48.0,-48227.0,,,,665.0,,665.0,-2488.0,125.0,-1698.0,,,931.0,9815.0,10746.0,1740.0,-2488.0,,,,,,,,,6543.726,6617.483,6.38,6.31
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2013-09-30,A,,2013,4,2013,3,F,10-K,2013,10,199,9,9,0000320193,12,3571,2013-10-30,2013-10-29,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,408-974-2483,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,84400,4100,80300,,24710,Ernst & Young LLP,Fair,www.apple.com,investor_relations@apple.com,6298166000,2013-10-18,Timothy D. Cook,Chief Executive Officer and Director,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,Luca Maestri,Vice President and Corporate Controller,William V. Campbell,Director,Millard S. Drexler,Director,2015-10-28,170910.0,106606.0,64304.0,,,,4475.0,,10830.0,,,,121911.0,48999.0,,,,,,,,,,,,,,,,1156.0,1156.0,50155.0,13118.0,37037.0,,,,,37037.0,,37037.0,,,37037.0,,37037.0,,37037.0,5.718,,,,5.718,5.718,5.7186,5.6791,,,,5.6791,5.6791,5.6786,5.8789,6521.634,6477.317,50155.0,37037.0,55756.0,48999.0,2014-10-27,40546.0,,,20641.0,1764.0,,,3453.0,,6882.0,73286.0,28519.0,11922.0,16597.0,,,106215.0,,,,5756.0,,,,,5146.0,133714.0,207000.0,,22367.0,,,13856.0,,,,,7435.0,,,,43658.0,16960.0,2625.0,,,,,,,20208.0,39793.0,83451.0,,19764.0,,104256.0,,,-471.0,,,123549.0,123549.0,207000.0,6294.494,,117793.0,2015-10-28,37037.0,6757.0,3394.0,10151.0,-2172.0,-973.0,2340.0,,,7283.0,6478.0,,53666.0,-8165.0,-911.0,-496.0,-24042.0,,-24042.0,-160.0,-33774.0,16896.0,,16896.0,-22330.0,,-22330.0,-10564.0,-381.0,-16379.0,,,3513.0,10746.0,14259.0,2253.0,-10564.0,,,,,,,,,6477.32,6521.634,5.72,5.68
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2014-09-30,A,,2014,4,2014,3,F,10-K,2014,10,199,9,9,0000320193,12,3571,2014-10-27,2014-10-27,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,97000,4400,92600,,26112,Ernst & Young LLP,Fair,www.apple.com,investor_relations@apple.com,5864840000,2014-10-10,Timothy D. Cook,Chief Executive Officer and Director,Luca Maestri,"Senior Vice President, Chief Financial Officer",Millard S. Drexler,Director,Al Gore,Director,Robert A. Iger,Director,2016-10-26,182795.0,112258.0,70537.0,,,,6041.0,,11993.0,,,,130292.0,52503.0,,,,,,,,,,,,,,,,980.0,980.0,53483.0,13973.0,39510.0,,,,,39510.0,,39510.0,,,39510.0,,39510.0,,39510.0,6.4924,,,,6.4924,6.4924,6.49,6.4531,,,,6.4531,6.4531,6.45,-18.8242,6122.663,6085.572,53483.0,39510.0,60449.0,52503.0,2015-10-28,25077.0,,,27219.0,2111.0,,,4318.0,,9806.0,68531.0,39015.0,18391.0,20624.0,,,130162.0,,,,8758.0,,,,,3764.0,163308.0,231839.0,,30196.0,,,18453.0,,6308.0,,,8491.0,,,,63448.0,28987.0,3031.0,,,,,,,24826.0,56844.0,120292.0,,23313.0,,87152.0,,,1082.0,,,111547.0,111547.0,231839.0,5866.161,,102789.0,2016-10-26,39510.0,7946.0,5210.0,13156.0,-4232.0,-76.0,5938.0,,,5417.0,7047.0,,59713.0,-9571.0,-242.0,-3765.0,-9017.0,-10.0,-9027.0,26.0,-22579.0,11960.0,6306.0,18266.0,-44270.0,,-44270.0,-11126.0,-419.0,-37549.0,,,-415.0,14259.0,13844.0,2863.0,-11126.0,,,,,,,,,6085.572,6122.663,6.49,6.45
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2015-09-30,A,,2015,4,2015,3,F,10-K,2015,10,199,9,9,0000320193,12,3571,2015-10-28,2015-10-28,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,110000,,110000,,25924,Ernst & Young LLP,Fair,www.apple.com,paxton1@apple.com,5575331000,2015-10-09,Timothy D. Cook,Chief Executive Officer and Director,Luca Maestri,Senior Vice President and Chief Financial Officer,Chris Kondo,Senior Director of Corporate Accounting,Al Gore,Director,Robert A. Iger,Director,2017-11-03,233715.0,140089.0,93626.0,,,,8067.0,,14329.0,,,,162485.0,71230.0,,,,,,,,,,,,,,,,1285.0,1285.0,72515.0,19121.0,53394.0,,,,,53394.0,,53394.0,,,53394.0,,53394.0,,53394.0,9.2804,,,,9.2804,9.2804,9.28,9.2169,,,,9.2169,9.2169,9.22,18.0977,5793.069,5753.421,72515.0,53394.0,82487.0,71230.0,2016-10-26,41601.0,,,30343.0,2349.0,,,,,15085.0,89378.0,49257.0,26786.0,22471.0,,,164065.0,,,,9009.0,,,,,5422.0,200967.0,290345.0,,35490.0,,,25181.0,,10999.0,,,8940.0,,,,80610.0,53329.0,3624.0,,,,,,,33427.0,90380.0,170990.0,,27416.0,,92284.0,,,-345.0,,,119355.0,119355.0,290345.0,5578.753,,110346.0,2017-11-03,53394.0,11257.0,5353.0,16610.0,417.0,-238.0,5001.0,,,6082.0,11262.0,,81266.0,-11247.0,-241.0,-343.0,-44417.0,,-44417.0,-26.0,-56274.0,27114.0,2191.0,29305.0,-34710.0,,-34710.0,-11561.0,-750.0,-17716.0,,,7276.0,13844.0,21120.0,3586.0,-11561.0,,,,,,,,,5753.421,5793.069,9.28,9.22
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2016-09-30,A,,2016,4,2016,3,F,10-K,2016,10,199,9,9,0000320193,12,3571,2016-10-26,2016-10-26,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,116000,,116000,,25641,Ernst & Young LLP,Fair,www.apple.com,paxton1@apple.com,5332313000,2016-10-14,Timothy D. Cook,Chief Executive Officer and Director,Luca Maestri,Senior Vice President and Chief Financial Officer,Chris Kondo,Senior Director of Corporate Accounting,James A. Bell,Director,Al Gore,Director,2017-11-03,215639.0,131376.0,84263.0,,,,10045.0,,14194.0,,,,155615.0,60024.0,,,,,,,,,,,,,,,,1348.0,1348.0,61372.0,15685.0,45687.0,,,,,45687.0,,45687.0,,,45687.0,,45687.0,,45687.0,8.351,,,,8.351,8.351,8.35,8.3063,,,,8.3063,8.3063,8.31,20.3359,5500.281,5470.82,61372.0,45687.0,70529.0,60024.0,2017-11-03,67155.0,,,29299.0,2132.0,,,,,8283.0,106869.0,61245.0,34235.0,27010.0,,,170430.0,,,,8620.0,,,,,8757.0,214817.0,321686.0,,37294.0,,,22027.0,,11605.0,,,8080.0,,,,79006.0,75427.0,2930.0,,,,,,,36074.0,114431.0,193437.0,,31251.0,,96364.0,,,634.0,,,128249.0,128249.0,321686.0,5336.166,,119629.0,2017-11-03,45687.0,10505.0,9634.0,20139.0,527.0,217.0,1837.0,,,-2583.0,-2.0,,65824.0,-12734.0,-814.0,-297.0,-30634.0,-1388.0,-32022.0,-110.0,-45977.0,22454.0,-397.0,22057.0,-29227.0,,-29227.0,-12150.0,-1163.0,-20483.0,,,-636.0,21120.0,20484.0,4210.0,-12150.0,,,,,,,,,5470.82,5500.281,8.35,8.31
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2017-09-30,A,,2017,4,2017,3,F,10-K,2017,10,199,9,9,0000320193,12,3571,2017-11-03,2017-11-03,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,123000,,123000,,25333,Ernst & Young LLP,Fair,www.apple.com,paxton1@apple.com,5134312000,2017-10-20,Timothy D. Cook,Chief Executive Officer and Director,Luca Maestri,"Senior Vice President, Chief Financial Officer",Chris Kondo,Senior Director of Corporate Accounting,James A. Bell,Director,Al Gore,Director,2017-11-03,229234.0,141048.0,88186.0,,,,11581.0,,15261.0,,,,167890.0,61344.0,,,,,,,,,,,,,,,,2745.0,2745.0,64089.0,15738.0,48351.0,,,,,48351.0,,48351.0,,,48351.0,,48351.0,,48351.0,9.2675,,,,9.2675,9.2675,9.27,9.2067,,,,9.2067,9.2067,9.21,17.082,5251.692,5217.242,64089.0,48351.0,71501.0,61344.0,2017-11-03,74181.0,,,35673.0,4855.0,,,,,13936.0,128645.0,75076.0,41293.0,33783.0,,,194714.0,,,,8015.0,,,,,10162.0,246674.0,375319.0,,49049.0,,,25744.0,,18473.0,,,7548.0,,,,100814.0,97207.0,2836.0,,,,,,,40415.0,140458.0,241272.0,,35867.0,,98330.0,,,-150.0,,,134047.0,134047.0,375319.0,5126.201,,126032.0,2017-11-03,48351.0,10157.0,10640.0,20797.0,-2093.0,-2723.0,9618.0,,,-10352.0,-5550.0,,63598.0,-12451.0,-344.0,-329.0,-33147.0,-395.0,-33542.0,220.0,-46446.0,25162.0,3852.0,29014.0,-32345.0,,-32345.0,-12769.0,-1247.0,-17347.0,,,-195.0,20484.0,20289.0,4840.0,-12769.0,,,,,,,,,5217.242,5251.692,9.27,9.21
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-03-31,Q,,2011,2,2011,1,F,10-Q,201102,10,199,9,9,0000320193,3,3571,2011-04-21,2011-04-21,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,408-996-0275,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,,,,,,,,www.apple.com,investor_relations@apple.com,6473282000,2011-04-08,,,,,,,,,,,2012-04-25,24667.0,14449.0,10218.0,,,,581.0,,1763.0,,,,16793.0,7874.0,,,,,,,,,,,,,,,,26.0,26.0,7900.0,1913.0,5987.0,,,,,5987.0,,5987.0,,,5987.0,,5987.0,,5987.0,0.9264,,,,0.9264,0.9264,0.9271,0.9138,,,,0.9138,0.9138,0.9143,3.0415,6551.608,6462.372,7900.0,5987.0,8308.0,7874.0,2011-04-21,29234.0,,,11095.0,930.0,,,1683.0,,4055.0,46997.0,9416.0,3175.0,6241.0,,,36533.0,,,,1248.0,,,,,3885.0,47907.0,94904.0,,13714.0,,,7022.0,,,,,3591.0,,,,24327.0,,1230.0,,,,,,,7870.0,9100.0,33427.0,,12326.0,,49025.0,,,126.0,,,61477.0,61477.0,94904.0,6472.718,,60229.0,2012-04-25,11991.0,790.0,2149.0,2939.0,-288.0,121.0,1626.0,,,-397.0,1062.0,,15992.0,-1838.0,-81.0,,-10344.0,,-10344.0,12.0,-12251.0,,,,494.0,,494.0,,482.0,976.0,,,4717.0,11261.0,15978.0,586.0,,,434.0,287.0,6219.0,-624.0,,,,6462.372,6551.608,0.9271,0.9143
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-06-30,Q,,2011,3,2011,2,F,10-Q,201103,10,199,9,9,0000320193,3,3571,2011-07-20,2011-07-20,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,408-996-0275,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,,,,,,,,www.apple.com,investor_relations@apple.com,6489636000,2011-07-08,,,,,,,,,,,2012-07-25,28571.0,16649.0,11922.0,,,,628.0,,1915.0,,,,19192.0,9379.0,,,,,,,,,,,,,,,,172.0,172.0,9551.0,2243.0,7308.0,,,,,7308.0,,7308.0,,,7308.0,,7308.0,,7308.0,1.1273,,,,1.1273,1.1273,1.1271,1.1132,,,,1.1132,1.1132,1.1129,-2.46,6564.67,6482.756,9551.0,7308.0,9860.0,9379.0,2011-07-20,28395.0,,,11471.0,889.0,,,1892.0,,4251.0,46898.0,10348.0,3599.0,6749.0,,,47761.0,,,,1910.0,,,,,3440.0,59860.0,106758.0,,15270.0,,,7597.0,,,,,3992.0,,,,26859.0,,1407.0,,,,,,,9149.0,10556.0,37415.0,,12715.0,,56239.0,,,389.0,,,69343.0,69343.0,106758.0,6488.328,,67433.0,2012-07-25,19299.0,1271.0,3102.0,4373.0,-592.0,162.0,2480.0,,,1378.0,3428.0,,27100.0,-2615.0,-266.0,,-24436.0,,-24436.0,34.0,-27283.0,,,,577.0,,577.0,,436.0,1013.0,,,830.0,11261.0,12091.0,870.0,,,481.0,284.0,11108.0,-777.0,,,,6482.756,6564.67,1.1271,1.1129
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-09-30,Q,,2011,4,2011,3,F,10-Q,201104,10,199,9,9,0000320193,3,3571,2011-10-26,2011-10-26,CA,ONE INFINITE LOOP,CUPERTINO,CA,95014,408-996-1010,408-996-0275,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES,X1,,63300,2900,60400,,28543,Ernst & Young LLP,Fair,www.apple.com,investor_relations@apple.com,6505863000,2011-10-14,Timothy D. Cook,Chief Executive Officer and Director,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,Betsy Rafael,Vice President and Corporate Controller,William V. Campbell,Director,Millard S. Drexler,Director,2013-10-30,28270.0,16890.0,11380.0,,,,645.0,,2025.0,,,,19560.0,8710.0,,,,,,,,,,,,,,,,81.0,81.0,8791.0,2168.0,6623.0,,,,,6623.0,,6623.0,,,6623.0,,6623.0,,6623.0,1.0199,,,,1.0199,1.0199,1.0186,1.0074,,,,1.0074,1.0074,1.0071,7.5723,6576.619,6497.96,8791.0,6623.0,9253.0,8710.0,2012-10-31,25952.0,,,11717.0,776.0,,,2014.0,,4529.0,44988.0,11768.0,3991.0,7777.0,,,55618.0,,,,4432.0,,,,,3556.0,71383.0,116371.0,,14632.0,,,9247.0,,,,,4091.0,,,,27970.0,,1686.0,,,,,,,10100.0,11786.0,39756.0,,13331.0,,62841.0,,,443.0,,,76615.0,76615.0,116371.0,6504.939,,72183.0,2013-10-30,25922.0,1814.0,4036.0,5850.0,143.0,275.0,2515.0,,,2824.0,5757.0,,37529.0,-4260.0,-3192.0,-244.0,-32464.0,,-32464.0,-259.0,-40419.0,,,,831.0,,831.0,,613.0,1444.0,,,-1446.0,11261.0,9815.0,1168.0,,,543.0,298.0,10429.0,-1645.0,,,,6469.806,6556.515,1.02,1.0086
