action_type,m_ticker,status,per_end_month_nbr,comp_name,ticker,change_txt,ex_date,proc_date
2,DD,1,12,DU PONT (EI) DE,DD,A-1.282 DOW,9/1/2017,9/1/2017
6,NIKE,1,5,NIKE INC-B,NKE,2,12/24/2015,12/24/2015
6,VISA,1,9,VISA INC-A,V,4,3/19/2015,3/19/2015
6,AAPL,1,9,APPLE INC,AAPL,7,6/9/2014,6/9/2014
6,NIKE,1,5,NIKE INC-B,NKE,2,12/26/2012,12/26/2012
6,KO,1,12,COCA COLA CO,KO,2,8/13/2012,8/13/2012
3,GS&,1,11,GOLDMAN SACHS,GS,12,,4/14/2009
1,VISA,1,9,VISA INC-A,V,,,3/20/2008
6,NIKE,1,5,NIKE INC-B,NKE,2,4/3/2007,4/3/2007
5,SPM,1,12,TRAVELERS COS,STA,TRV,,2/27/2007
4,SPM,1,12,ST PAUL TRAVLRS,STA,TRAVELERS COS,,2/27/2007
4,AAPL,1,9,APPLE COMPUTER,AAPL,APPLE INC,,1/11/2007
6,CTR,1,12,CATERPILLAR INC,CAT,2,7/14/2005,7/14/2005
6,UA,1,12,UTD TECHS CORP,UTX,2,6/13/2005,6/13/2005
6,UNIH,1,12,UNITEDHEALTH GP,UNH,2,5/31/2005,5/31/2005
4,SD,1,12,CHEVRONTEXACO,CVX,CHEVRON CORP,,5/10/2005
6,AAPL,1,9,APPLE COMPUTER,AAPL,2,2/28/2005,2/28/2005
6,SD,1,12,CHEVRONTEXACO,CVX,2,9/13/2004,9/13/2004
4,CHL,1,12,JP MORGAN CHASE,JPM,JPMORGAN CHASE,,7/28/2004
6,PG,1,6,PROCTER & GAMBL,PG,2,6/21/2004,6/21/2004
5,SPM,1,12,ST PAUL TRAVLRS,SPC,STA,,4/2/2004
4,SPM,1,12,ST PAUL COS INC,SPC,ST PAUL TRAVLRS,,4/2/2004
6,MMM,1,12,3M CO,MMM,2,9/30/2003,9/30/2003
6,UNIH,1,12,UNITEDHEALTH GP,UNH,2,6/19/2003,6/19/2003
