ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,mkt_val,ep_val
AAPL,AAPL,APPLE INC,9,Q,2017-09-30,Y,796064.94,
AAPL,AAPL,APPLE INC,9,Q,2017-06-30,Y,750897.25,764002.25
AAPL,AAPL,APPLE INC,9,Q,2017-03-31,Y,753717.94,771147.94
AAPL,AAPL,APPLE INC,9,Q,2016-12-31,Y,608960.31,622065.31
AAPL,AAPL,APPLE INC,9,Q,2016-09-30,Y,609163.56,617435.56
AAPL,AAPL,APPLE INC,9,Q,2016-06-30,Y,515135.19,522318.19
AAPL,AAPL,APPLE INC,9,Q,2016-03-31,Y,597095.88,611186.88
AAPL,AAPL,APPLE INC,9,Q,2015-12-31,Y,583612.75,598742.75
AAPL,AAPL,APPLE INC,9,Q,2015-09-30,Y,629010.25,640738.25
AAPL,AAPL,APPLE INC,9,Q,2015-06-30,Y,715263.94,727979.94
AAPL,AAPL,APPLE INC,9,Q,2015-03-31,Y,729926.44,736902.44
AAPL,AAPL,APPLE INC,9,Q,2014-12-31,Y,642935.69,642976.69
AAPL,AAPL,APPLE INC,9,Q,2014-09-30,Y,590882.69,594792.69
AAPL,AAPL,APPLE INC,9,Q,2014-06-30,Y,556452.5,547677.5
AAPL,AAPL,APPLE INC,9,Q,2014-03-31,Y,462363.16,437975.16
AAPL,AAPL,APPLE INC,9,Q,2013-12-31,Y,500739.0,476989.0
AAPL,AAPL,APPLE INC,9,Q,2013-09-30,Y,433125.97,409539.97
AAPL,AAPL,APPLE INC,9,Q,2013-06-30,Y,372202.53,346554.53
AAPL,AAPL,APPLE INC,9,Q,2013-03-31,Y,415683.44,376546.44
AAPL,AAPL,APPLE INC,9,Q,2012-12-31,Y,499614.09,459794.09
AAPL,AAPL,APPLE INC,9,Q,2012-09-30,Y,625348.25,596219.25
AAPL,AAPL,APPLE INC,9,Q,2012-06-30,Y,546076.25,518422.25
AAPL,AAPL,APPLE INC,9,Q,2012-03-31,Y,559002.5,530464.5
AAPL,AAPL,APPLE INC,9,Q,2011-12-31,Y,376410.66,346254.66
AAPL,AAPL,APPLE INC,9,Q,2011-09-30,Y,353518.38,327566.38
AAPL,AAPL,APPLE INC,9,Q,2011-06-30,Y,310412.56,282017.56
AAPL,AAPL,APPLE INC,9,Q,2011-03-31,Y,321072.31,291838.31
AXP,AXP,AMER EXPRESS CO,12,Q,2017-09-30,Y,78518.94,101112.94
AXP,AXP,AMER EXPRESS CO,12,Q,2017-06-30,Y,74466.44,95969.44
AXP,AXP,AMER EXPRESS CO,12,Q,2017-03-31,Y,70706.87,92987.87
