ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,shares_out,avg_d_shares
AAPL,AAPL,APPLE INC,9,Q,2017-09-30,Y,5165.23,
AAPL,AAPL,APPLE INC,9,Q,2017-06-30,Y,5213.84,5233.5
AAPL,AAPL,APPLE INC,9,Q,2017-03-31,Y,5246.54,5261.69
AAPL,AAPL,APPLE INC,9,Q,2016-12-31,Y,5257.82,5328.0
AAPL,AAPL,APPLE INC,9,Q,2016-09-30,Y,5388.44,5393.33
AAPL,AAPL,APPLE INC,9,Q,2016-06-30,Y,5388.44,5472.78
AAPL,AAPL,APPLE INC,9,Q,2016-03-31,Y,5478.45,5540.89
AAPL,AAPL,APPLE INC,9,Q,2015-12-31,Y,5544.49,5594.13
AAPL,AAPL,APPLE INC,9,Q,2015-09-30,Y,5702.72,5682.52
AAPL,AAPL,APPLE INC,9,Q,2015-06-30,Y,5702.72,5773.1
AAPL,AAPL,APPLE INC,9,Q,2015-03-31,Y,5866.16,5834.86
AAPL,AAPL,APPLE INC,9,Q,2014-12-31,Y,5824.75,5881.8
AAPL,AAPL,APPLE INC,9,Q,2014-09-30,Y,5864.84,5972.08
AAPL,AAPL,APPLE INC,9,Q,2014-06-30,Y,5987.87,6051.71
AAPL,AAPL,APPLE INC,9,Q,2014-03-31,Y,6030.0,6156.7
AAPL,AAPL,APPLE INC,9,Q,2013-12-31,Y,6247.86,6310.16
AAPL,AAPL,APPLE INC,9,Q,2013-09-30,Y,6359.48,6363.92
AAPL,AAPL,APPLE INC,9,Q,2013-06-30,Y,6570.54,6469.85
AAPL,AAPL,APPLE INC,9,Q,2013-03-31,Y,6573.41,6622.25
AAPL,AAPL,APPLE INC,9,Q,2012-12-31,Y,6571.73,6630.52
AAPL,AAPL,APPLE INC,9,Q,2012-09-30,Y,6561.84,6637.3
AAPL,AAPL,APPLE INC,9,Q,2012-06-30,Y,6545.44,6629.41
AAPL,AAPL,APPLE INC,9,Q,2012-03-31,Y,6526.59,6614.25
AAPL,AAPL,APPLE INC,9,Q,2011-12-31,Y,6505.86,6591.0
AAPL,AAPL,APPLE INC,9,Q,2011-09-30,Y,6489.64,6576.62
AAPL,AAPL,APPLE INC,9,Q,2011-06-30,Y,6473.29,6564.67
AAPL,AAPL,APPLE INC,9,Q,2011-03-31,Y,6448.95,6551.61
AXP,AXP,AMER EXPRESS CO,12,Q,2017-09-30,Y,868.0,881.0
AXP,AXP,AMER EXPRESS CO,12,Q,2017-06-30,Y,883.98,893.0
AXP,AXP,AMER EXPRESS CO,12,Q,2017-03-31,Y,893.78,903.0
AXP,AXP,AMER EXPRESS CO,12,Q,2016-12-31,Y,915.26,913.0
AXP,AXP,AMER EXPRESS CO,12,Q,2016-09-30,Y,915.26,923.0
AXP,AXP,AMER EXPRESS CO,12,Q,2016-06-30,Y,923.78,941.0
AXP,AXP,AMER EXPRESS CO,12,Q,2016-03-31,Y,951.0,963.0
AXP,AXP,AMER EXPRESS CO,12,Q,2015-12-31,Y,969.0,981.0
AXP,AXP,AMER EXPRESS CO,12,Q,2015-09-30,Y,985.0,997.0
AXP,AXP,AMER EXPRESS CO,12,Q,2015-06-30,Y,1002.0,1013.0
AXP,AXP,AMER EXPRESS CO,12,Q,2015-03-31,Y,1016.0,1023.0
AXP,AXP,AMER EXPRESS CO,12,Q,2014-12-31,Y,1023.0,1033.0
AXP,AXP,AMER EXPRESS CO,12,Q,2014-09-30,Y,1035.0,1047.0
AXP,AXP,AMER EXPRESS CO,12,Q,2014-06-30,Y,1058.6,1058.0
AXP,AXP,AMER EXPRESS CO,12,Q,2014-03-31,Y,1059.61,1067.0
AXP,AXP,AMER EXPRESS CO,12,Q,2013-12-31,Y,1071.27,1073.0
AXP,AXP,AMER EXPRESS CO,12,Q,2013-09-30,Y,1078.86,1081.0
AXP,AXP,AMER EXPRESS CO,12,Q,2013-06-30,Y,1098.64,1097.0
AXP,AXP,AMER EXPRESS CO,12,Q,2013-03-31,Y,1101.99,1106.0
AXP,AXP,AMER EXPRESS CO,12,Q,2012-12-31,Y,1119.06,1116.0
