date,action,ticker,name,value,contraticker,contraname
2019-06-03,split,DD,Dupont De Nemours Inc,0.33333,N/A,N/A
2015-12-24,split,NKE,Nike Inc,2.0,N/A,N/A
2014-06-09,split,AAPL,Apple Inc,7.0,N/A,N/A
2012-12-26,split,NKE,Nike Inc,2.0,N/A,N/A
2012-08-13,split,KO,Coca Cola Co,2.0,N/A,N/A
2007-04-03,split,NKE,Nike Inc,2.0,N/A,N/A
2005-07-14,split,CAT,Caterpillar Inc,2.0,N/A,N/A
2005-06-13,split,UTX,United Technologies Corp,2.0,N/A,N/A
2005-05-31,split,UNH,Unitedhealth Group Inc,2.0,N/A,N/A
2005-02-28,split,AAPL,Apple Inc,2.0,N/A,N/A
2004-09-13,split,CVX,Chevron Corp,2.0,N/A,N/A
2004-06-21,split,PG,Procter & Gamble Co,2.0,N/A,N/A
2003-09-30,split,MMM,3M Co,2.0,N/A,N/A
2003-06-19,split,UNH,Unitedhealth Group Inc,2.0,N/A,N/A
2003-02-18,split,MSFT,Microsoft Corp,2.0,N/A,N/A
2001-07-19,split,XOM,Exxon Mobil Corp,2.0,N/A,N/A
2001-06-13,split,JNJ,Johnson & Johnson,2.0,N/A,N/A
2000-12-26,split,UNH,Unitedhealth Group Inc,2.0,N/A,N/A
2000-07-31,split,INTC,Intel Corp,2.0,N/A,N/A
2000-06-21,split,AAPL,Apple Inc,2.0,N/A,N/A
2000-06-19,split,DD,Dupont De Nemours Inc,3.0,N/A,N/A
2000-06-12,split,JPM,Jpmorgan Chase & Co,1.5,N/A,N/A
2000-05-11,split,AXP,American Express Co,3.0,N/A,N/A
2000-05-08,split,GE,General Electric Co,3.0,N/A,N/A
2000-03-23,split,CSCO,Cisco Systems Inc,2.0,N/A,N/A
1999-12-31,split,HD,Home Depot Inc,1.5,N/A,N/A
1999-07-01,split,PFE,Pfizer Inc,3.0,N/A,N/A
1999-06-22,split,CSCO,Cisco Systems Inc,2.0,N/A,N/A
1999-05-27,split,IBM,International Business Machines Corp,2.0,N/A,N/A
1999-05-18,split,UTX,United Technologies Corp,2.0,N/A,N/A
1999-04-20,split,WMT,Walmart Inc,2.0,N/A,N/A
1999-04-12,split,INTC,Intel Corp,2.0,N/A,N/A
1999-03-29,split,MSFT,Microsoft Corp,2.0,N/A,N/A
1999-03-08,split,MCD,Mcdonalds Corp,2.0,N/A,N/A
1999-02-17,split,MRK,Merck & Co Inc,2.0,N/A,N/A
1998-09-16,split,CSCO,Cisco Systems Inc,1.5,N/A,N/A
1998-07-06,split,HD,Home Depot Inc,2.0,N/A,N/A
1998-06-30,split,VZ,Verizon Communications Inc,2.0,N/A,N/A
1998-06-15,split,JPM,Jpmorgan Chase & Co,2.0,N/A,N/A
1998-05-12,split,TRV,Travelers Companies Inc,2.0,N/A,N/A
1998-02-23,split,MSFT,Microsoft Corp,2.0,N/A,N/A
